[0, "RT @ACreativeLoser: Are we live @cthagod ? Are we Live? Alright Check it...\n."]
[1, "Miley Cyrus' upcoming album is gonna be her most personal album to date\n."]
[2, "Me ha gustado un vídeo de @YouTube (https://t.co/nD4KB59CX8 - Paris Jazz Sessions - A wonderful one hour jazz program for all music\n."]
[3, "beach house's music video for wishes is the best thing to ever exist\n."]
[4, "in my own defense i was 10\n."]
[5, "eu tava de boa no instagram ai o justin bieber come�ou a fazer live e eu sou curiosa e fuiver wle tava muito loucao rindo sozinho eu ri mttt\n."]
[6, "@officialcha s: All 10 tracks from @Harry_Styles' album are in today's Update Top 100, with Sign Of The Times back in the Top 3 https:/�\n."]
[7, "Justin Bieber is the first a ist ever to tally new No. 1s on the #Hot100 in back-to-back weeks." https://t.co/9yqH7EMMM7\n."]
[8, "@ohheybrittany: the most fascinating thing is how quietly justin bieber has become the most impo ant person to get featured on a song\n."]
[9, "RT @ComedyWorIdStar: when I'm high and I listen to music https://t.co/phR2AHOGWH\n."]
[10, "@b_bellpepper Tsaka kay Justin Bieber HAHAHA\n."]
[11, "I liked a @YouTube video https://t.co/9eEnWLyacW Miley Cyrus - Malibu (Official Video)\n."]
[12, "@billboard: The Year in Cha s 2016: @JustinBieber leads the Hot 100 #yearinmusic https://t.co/RkoOwFebur https://t.co/kuMRMevEbJ\n."]
[13, "@desss_music We're about to play LADY (IHM CLEANER) by AUSTIN MAHONE / PITBULL! Listen &amp; Vote 4 More: https://t.co/f5amqmpBgv\n."]
[14, "RT @chongaimbalsa: Guys Bts are featured on billboard music awards snapchat today, its becoming too real, i vote Bts for top social artist…\n."]
[15, "#MileyCyrus talks about being her "dad�s personal McDonald�s driver", lol. Click below to watch! ~@MikeAdamOnAir https://t.co/MVwTzFqCia\n."]
[16, "RT @kenzieziegler: I'm SO excited!! The music video for #MonstersAKAHaters is now up on my @YouTube channel!! Song link in bio.\n."]
[17, "When I was in rehab : halfway @iamcardib music and her interviews really kept me going/ the struggle is real but so is god ! Thank u b\n."]
[18, "Justin Bieber Singing Despacito/ Pranks on Instagram Live Stream https://t.co/jBLzu7Qru3 via @YouTube\n."]
[19, "When I see Miley Cyrus happy it makes me happy! Go Miley! https://t.co/dttOMJz36P\n."]
[20, "@junhonihitaru: ?Love Yourself-?? &amp;?? ???\n."]
[21, "jb stan: ok?? but\n."]
[22, "RT @DJMilkshake: Get my latest single #SAVAGE on iTunes https://t.co/WqIXbTYErB - Google Play https://t.co/tGEQ8KtYx4\n."]
[23, "RT @CommonWhiteGirI: WHOEVER CAME UP WITH THE IDEA OF YOUR PHONE PLAYING THE FIRST SONG IN UR MUSIC EVERY TIME YOU TURN YOUR CAR ON HAS RUI…\n."]
[24, ".@mileycyrus's new track 'Malibu' has landed! https://t.co/9wS4iK40hd https://t.co/q1YZCpFNaP\n."]
[25, "eu n acredito que perdi dnv justin bieber fazendo live kkkkkk\n."]
[26, "@BBMAs: How to vote for @justinbieber for Top Social A ist at the #BBMAs?\n."]
[27, "he has great taste in music https://t.co/nCFOUEhgQl\n."]
[28, "Get my latest single #SAVAGE on iTunes https://t.co/WqIXbTYErB - Google Play https://t.co/tGEQ8KtYx4\n."]
[29, "@JDBVoteSpree: Justin Bieber Instagram Livestream Pa  1 Enjoy!\n."]
[30, "RT @shauna_brophy: Music festivals are one of life's greatest pleasures\n."]
[31, "New released album David Vaters A Voice in the Wilderness Volume 1 https://t.co/SMGmwIqonF\n."]
[32, "@waveyakpopper: bts when they win top social a ist over big western a ists such as justin bieber, selena gomez and ariana grande\n."]
[33, "estou fazendo minha pr�pria boneca monster high lady gaga\n."]
[34, "Ohhhh baby you should go and love yourself - Justin Bieber #LoveYourself #J�\n."]
[35, "they're not actually bad they're just all food or music related\n."]
[36, "You Got The Love (feat. Candi Staton) - The Source - @bbc6music cheers Ma dears xx https://t.co/uOVUiPNvHp\n."]
[37, "@pagetpaget hey i have a very impo ant question for you, what do you think of lady gaga?\n."]
[38, "@AVSTlN: Miley Cyrus is lookin so good i just busted 8 nuts in my oatmeal\n."]
[39, "@sixgodsmg We're about to play LADY (IHM CLEANER) by AUSTIN MAHONE / PITBULL! Listen &amp; Vote 4 More: https://t.co/f5amqmpBgv\n."]
[40, "@ThisIsDSP to score Music for this much awaited Sequel.\n."]
[41, "RT @WIRED: Musicians will have a whole new range of tools for making music, thanks to a team of AI researchers inside Google https://t.co/e…\n."]
[42, "RT @1DHQDaily: Vote for all our categories here :)\n."]
[43, "10. Malibu - Miley Cyrus (+2) *new peak*\n."]
[44, "@greedyourself: n acredito que justin bieber cantando despacito na live do ig salvou o meu dia https://t.co/n7psN2f6Sl\n."]
[45, "@kissEMOTIONstan: 11. True Friend - Miley Cyrus as (Hannah Montana). This goes out to that one mutual, he knows who exactly he is. https�\n."]
[46, "Im so happy Miley Cyrus is normal again\n."]
[47, "@EDMsauce @GabrielNDresden Awesome, thank you! We'll be sure to share video and music from the album launch ;-) https://t.co/DYqDrU8qWq\n."]
[48, "⠀⠀⠀ debut song: dr feel good\n."]
[49, "@HausOfDylann: A month ago, Lady Gaga surprise released her new single 'The Cure'! Make sure to buy and stream it HERE: https://t.co/oqq�\n."]
[50, "I love it ??\n."]
[51, "I still feel like your man 🎶 🎸always been able to relate to your music congrats on another amazing album sir @JohnMayer\n."]
[52, "Wishing U all 4 A HAPPY #tunatuesday\n."]
[53, "Such a great song @Moonshot_Music @Jahmene https://t.co/OGK42ijqP7\n."]
[54, "SOUND OF STRANGE.　\n."]
